# Test Case | Vertices | Edges | Exact Runtime (s) | Approx Runtime (s) | Exact Value | Approx Value | Quality | Difference | Percent Diff | Speedup
# Format: test_name|vertices|edges|exact_time|approx_time|exact_length|approx_length|quality|diff|percent|speedup

test_large_1|10|20|0.020030|0.031038|112|111|SUBOPTIMAL|1|0.89|0.65
test_medium_1|5|10|0.014768|0.024738|48|48|OPTIMAL|0|0.00|0.60
test_medium_2|6|9|0.014594|0.024737|35|35|OPTIMAL|0|0.00|0.59
test_nonoptimal|6|8|0.014612|0.024449|56|56|OPTIMAL|0|0.00|0.60
test_small_1|3|3|0.014938|0.022826|9|9|OPTIMAL|0|0.00|0.65
test_small_2|4|6|0.015052|0.024957|13|13|OPTIMAL|0|0.00|0.60
test_input_1|3|3|0.014710|0.022745|9|9|OPTIMAL|0|0.00|0.65
test_input_2|4|6|0.014870|0.023332|13|13|OPTIMAL|0|0.00|0.64
test_input_3|5|10|0.014752|0.024299|48|48|OPTIMAL|0|0.00|0.61
test_input_4|6|9|0.014662|0.024743|35|35|OPTIMAL|0|0.00|0.59
test_input_5|8|12|0.014827|0.025759|46|46|OPTIMAL|0|0.00|0.58
test_input_6|10|20|0.016444|0.027768|111|104|SUBOPTIMAL|7|6.31|0.59
test_input_medium_1|7|12|0.014687|0.025946|49|49|OPTIMAL|0|0.00|0.57
test_input_medium_2|9|15|0.015296|0.028043|84|83|SUBOPTIMAL|1|1.19|0.55
test_input_small_1|2|1|0.014675|0.021955|5|5|OPTIMAL|0|0.00|0.67
test_input_small_2|3|2|0.014554|0.022702|7|7|OPTIMAL|0|0.00|0.64
test_10v_1.txt|10|20|0.018301|0.029516|704|704|OPTIMAL|0|0.00|0.62
test_10v_2.txt|10|25|0.032895|0.030160|726|621|SUBOPTIMAL|105|14.46|1.09
test_10v_3.txt|10|30|0.084607|0.031594|731|731|OPTIMAL|0|0.00|2.68
test_11v_1.txt|11|25|0.035128|0.031509|861|831|SUBOPTIMAL|30|3.48|1.11
test_11v_2.txt|11|35|0.509306|0.034213|729|688|SUBOPTIMAL|41|5.62|14.89
test_11v_3.txt|11|45|5.689047|0.037066|873|831|SUBOPTIMAL|42|4.81|153.48
test_8v_1.txt|8|12|0.014965|0.026487|353|353|OPTIMAL|0|0.00|0.56
test_8v_2.txt|8|16|0.015631|0.027442|452|414|SUBOPTIMAL|38|8.41|0.57
test_8v_3.txt|8|20|0.017785|0.028184|568|552|SUBOPTIMAL|16|2.82|0.63
test_9v_1.txt|9|15|0.015071|0.027554|525|514|SUBOPTIMAL|11|2.10|0.55
test_9v_2.txt|9|20|0.019008|0.028681|522|522|OPTIMAL|0|0.00|0.66
test_9v_3.txt|9|25|0.034958|0.030174|651|631|SUBOPTIMAL|20|3.07|1.16
test_01.txt|10|45|3.550497|0.036230|786|782|SUBOPTIMAL|4|0.51|98.00
test_02.txt|11|50|14.394792|0.038386|791|791|OPTIMAL|0|0.00|375.00
test_03.txt|11|55|39.124141|0.042078|879|879|OPTIMAL|0|0.00|929.80
test_10v_4.txt|10|22|0.024158|0.031977|575|569|SUBOPTIMAL|6|1.04|0.76
test_10v_5.txt|10|28|0.073340|0.032829|755|755|OPTIMAL|0|0.00|2.23
test_11v_4.txt|11|30|0.095526|0.034170|584|580|SUBOPTIMAL|4|0.68|2.80
test_11v_5.txt|11|40|1.586080|0.035795|831|831|OPTIMAL|0|0.00|44.31
test_8v_4.txt|8|14|0.015235|0.027247|462|462|OPTIMAL|0|0.00|0.56
test_8v_5.txt|8|18|0.016754|0.027651|550|550|OPTIMAL|0|0.00|0.61
test_9v_4.txt|9|18|0.016390|0.027564|534|476|SUBOPTIMAL|58|10.86|0.59
test_9v_5.txt|9|22|0.020465|0.029009|541|479|SUBOPTIMAL|62|11.46|0.71
